Indirizzo;Latitudine;Longitudine;Attiva;ZonaDec
XXIV Maggio/Corso di Porta Ticinese;9,179725;45,453004;0;5
Via Cusani;9,1851705;45,4690312;1;1
Giardini Aldo Protti;9,198428;45,491337;1;2
Giardini Cassina de Pomm / via Tirano;9,209286;45,497188;1;2
Giardini Cislaghi;9,230108;45,512757;1;2
Giardini Erodoto;9,222939;45,508738;1;2
Giardini Gregor Mendel;9,196923;45,489634;1;2
Giardini Tremelloni;9,233025;45,513294;1;2
Giardini Via Anassagora;9,231139;45,514841;1;2
Parco Ex Trotter;9,224257;45,494088;1;2
Parco Panza;9,223362;45,521594;1;2
Piazza Caiazzo;9,209685;45,485391;1;2
Piazza Duca D'aosta;9,203007;45,484578;1;2
Piazza IV Novembre;9,202309;45,486892;1;2
Piazza Precotto;9,224579;45,512351;1;2
Piazzale Bacone;9,214502;45,480535;1;3
Piazzale Loreto;9,216821;45,486158;1;2
Stazione M1 Gorla;9,222485;45,506214;1;2
Stazione M2 Cimiano;9,241251;45,499905;1;2
Stazione M2 Crescenzago;9,24831;45,505255;1;3
Via De Marchi 66;9,21205;45,504136;1;2
Via Dei Transiti;9,220571;45,490676;1;2
Via Deledda 9/a;9,215968;45,487594;1;2
Via Ferrante Aporti 3;9,211686;45,491625;1;2
Via G,B, Sammartini 71;9,211819;45,495225;1;2
Via Padova 118;9,229722;45,495934;1;2
Via Sant'Elembardo 4;9,220181;45,505034;1;2
Via Tarabella 4;9,234681;45,495803;1;2
Via Tarvisio 13;9,207297;45,49778;0;2
Via Trasimeno 41;9,248834;45,514624;1;2
Viale Don Luigi Orione 19;9,238433;45,50082;1;2
Viale Zara 100;9,195876;45,497359;1;2
Piazza Carbonari;9,199569;45,492946;1;2
Via dei Valtorta/ Parco Martesana;9,23064;45,500422;1;2
Via Lomellina    35;9,230082;45,465834;1;4
Via Giovanni Schiapparelli    9;9,204311;45,489772;1;2
viale Zara 23;9,192421;45,49242;1;9
Via dei Transiti   28;9,2186451;45,4913067;1;2
Via Ranzato;9,2261875;45,5082943;1;2
Corso Buenos Aires - Petrella / Scarlatti;9,212379;45,481916;1;3
Piazza Argentina;9,214995;45,484241;1;3
Piazza Bottini;9,236046;45,48467;1;3
Piazza Caduti e Dispersi in Russia 1;9,254479;45,490952;1;3
Piazza Leonardo da Vinci;9,225449;45,478151;1;3
Piazza Lima;9,21096;45,480231;1;3
Piazza Piola;9,223701;45,480306;1;3
Piazza Rimembranze di Lambrate;9,241004;45,482409;1;3
Piazza Udine;9,236923;45,491069;1;3
Stazione M2 Gobba;9,260462;45,511207;1;3
via Boscovich Ruggero 42;9,206674;45,480466;1;3
via Olgettina 60;9,266269;45,504707;1;3
via Paolo Frisi 2/4;9,208633;45,474948;1;3
via Piccinni 8;9,21511;45,482645;1;3
via Ponzio 1;9,230052;45,474671;1;3
via Ponzio 35;9,229975;45,480681;1;3
via Rizzoli (MM Crescenzago);9,249789;45,505557;1;3
via Tommaso Pini 1;9,2411;45,485119;1;3
viale Tunisia/Piazza santa Francesca Romana;9,208215;45,476353;1;3
via Valvassori Peroni 56;9,236612;45,478864;1;3
viale Vincent Van Gogh 10;9,252391;45,494566;0;3
Piazza San Materno;9,226477;45,488524;1;3
Piazza Pietro Gobetti;9,23403;45,485515;1;3
Via Boves;9,2367474;45,4956353;1;3
Piazza Risorgimento;9,2107916;45,4680166;1;3
Via Saldini Cesare;9,227373;45,4727529;1;3
Corso XXII Marzo 16;9,210202;45,462091;1;4
Giardini Marinai D'italia;9,215553;45,460943;1;4
Parco Alessandrini;9,243997;45,443709;1;4
Piazza Emilia;9,216631;45,462427;1;4
Piazza Grandi;9,220673;45,462417;1;4
Piazza Medaglie D'oro;9,202112;45,452187;1;1
Piazzale Gabrio Rosa;9,224287;45,43755;1;4
Piazzale Insubria;9,220581;45,452722;1;4
Piazzale Lodi;9,21018;45,447207;1;4
Piazzale Martini;9,220357;45,456785;1;4
Quartiere Ponte Lambro - via Ucelli di Nemi;9,263919;45,442782;1;4
Stazione FS Rogoredo;9,239003;45,433276;1;4
Stazione M3 Brenta;9,21847;45,442308;1;4
Stazione M3 Corvetto;9,223581;45,439856;1;4
Stazione M3 San Donato;9,256222;45,429128;1;4
via Cesare Lombroso 54;9,234814;45,456206;1;4
via dei Cinquecento 19;9,220681;45,435182;1;4
via dei Panigarola 14;9,222478;45,435798;1;4
via Fiamma Galvano 7;9,211362;45,463173;1;4
via Friuli 30;9,211788;45,452447;1;4
via l'Aquila 81;9,251632;45,467711;1;4
via Oglio   18;9,218255;45,44029;1;4
via Parea 26;9,263285;45,442917;1;4
via San Martino Don Carlo 10;9,235098;45,468091;1;4
via Taverna;9,25649;45,466883;1;4
via Ungheria 29;9,25531;45,447201;1;4
via Zante 36;9,247413;45,458612;1;4
viale Corsica - via Negroli;9,232364;45,462233;1;4
viale Puglie 33;9,223719;45,450061;1;4
Via Elio Vittorini;9,261668;45,442459;1;4
Piazza Ovidio;9,240832;45,45706;1;4
Via Fabio Massimo - Campo sportivo;9,230726;45,434614;1;4
Via Forlanini - Via Alfonso Gatto;9,238708;45,462057;1;3
via Mincio 23/Piazzale Ferrara;9,219444;45,438256;0;4
Via Mondolfo   7;9,2543507;45,446719;1;4
Giardini piazza Carrara;9,175358;45,437931;1;5
Giardini via Aicardo;9,185692;45,439988;1;5
Giardini viale Cermenate;9,180797;45,437549;1;5
Largo Albe Steiner;9,183669;45,439432;1;5
Parco Baravalle;9,183488;45,446723;1;5
Parco Chiesa Rossa;9,173877;45,430769;0;5
Piazza Abbiategrasso;9,178028;45,4299;1;5
Piazza Agrippa 12;9,183856;45,433192;1;5
via Boifava 17;9,175081;45,426968;1;5
via Custodi 13;9,182283;45,449472;1;5
via Fra Cristoforo 6;9,171908;45,434424;1;5
via Michele Saponaro 26;9,173992;45,408288;1;5
via Michele Saponaro 30;9,1736;45,40795;1;5
via Palmieri 20;9,177434;45,434961;1;5
via Romeo Nicola 14;9,180361;45,417778;1;5
via San Domenico Savio 3;9,174133;45,430069;1;5
via Sant'Arialdo;9,231219;45,413559;1;5
via Tabacchi 15a;9,18185;45,447569;1;5
Borgo Chiaravalle;9,23727;45,418019;1;5
Quartiere Basmetto -Via Chiesa Rossa 265;9,16292;45,414117;1;5
via Gratosoglio 63;9,171138;45,412973;1;5
via Fabrizio de Andrﬁ/via dei Missaglia 46/3;9,177057;45,422979;0;5
Piazzale Madonna di Fatima    1;9,2040002;45,4295924;1;5
Via Dudovich Marcello;9,1795921;45,4282145;1;5
