Anno_evento;Luogo_matrimonio;Rito;Stato_civile_marito;Stato_civile_moglie;Cittadinanza_marito;Cittadinanza_moglie;Eta_marito;Eta_moglie;Numerosità;Residenza_moglie;Residenza_marito;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;31;32;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;31;33;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;31;34;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;31;35;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;31;37;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;32;26;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;32;27;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;32;28;8;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;32;29;11;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;32;30;3;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;32;31;7;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;32;32;6;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;32;33;4;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;32;36;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;33;25;2;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;33;27;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;33;28;3;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;33;29;1;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;33;30;7;Milano;Italia;;;;;;;;
2003;Milano;Cattolico;Celibe;Nubile;Italia;Italia;33;31;4;Milano;Italia;;;;;;;;
