Cittadinanza;Genere;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Emirati Arabi Uniti;Maschi;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eritrea;Femmine;0;0;0;0;0;0;0;42;265;367;537;695;883;1072;1216;1258;1133;1266;1408;1440;1480;1465;1486;1507;1472;1490;1406;1056
Eritrea;Maschi;0;0;0;0;0;0;0;6;52;71;121;154;223;307;366;388;367;440;580;698;836;891;1024;1078;1026;1028;933;751
Estonia;Femmine;0;0;0;0;0;0;0;0;1;2;3;3;6;7;8;14;12;21;30;30;33;35;38;43;45;50;56;56
Estonia;Maschi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;4;3;5
Etiopia;Femmine;1122;1209;1235;1268;727;1388;1449;1474;1299;1229;1120;1114;928;819;779;714;368;412;419;419;434;423;438;461;460;470;454;407
Etiopia;Maschi;674;679;691;714;374;776;784;783;735;710;649;629;543;480;450;395;176;178;196;198;231;238;275;286;267;280;270;225
Filippine;Femmine;778;1045;1192;1530;1636;2974;3450;3778;4132;4734;6528;8994;9775;11019;11963;12320;11377;13861;15238;15699;15857;16188;17488;18982;20853;22365;22765;22981
Filippine;Maschi;207;272;359;556;838;1550;1938;2129;2373;2816;4187;5973;6697;7666;8493;8893;8348;10220;11407;11887;12174;12561;13635;14763;16149;17493;17994;18256
Finlandia;Femmine;28;30;34;45;54;0;43;50;60;67;73;85;89;97;120;112;77;80;89;89;91;94;99;97;99;106;102;83
Finlandia;Maschi;14;17;18;19;18;0;19;16;22;22;26;28;26;27;33;35;16;17;22;25;24;25;25;27;27;27;24;16
Francia;Femmine;1133;1186;1228;1263;827;1379;1442;1532;1656;1677;1749;1951;2017;2119;2337;2332;1414;1475;1695;1782;1845;1920;2079;2151;2246;2366;2141;1679
Francia;Maschi;965;1009;1056;1090;592;1184;1283;1387;1480;1502;1601;1825;1888;2037;2217;2195;1104;1150;1364;1441;1487;1565;1684;1717;1785;1872;1706;1246
Gabon;Femmine;2;2;2;2;0;0;2;2;2;2;2;3;3;3;2;2;0;2;2;2;2;3;3;3;3;3;3;3
Gabon;Maschi;0;0;0;1;1;0;1;1;0;0;0;0;1;1;2;2;1;1;1;2;2;2;0;1;1;2;1;1
Gambia;Femmine;0;0;0;0;1;0;1;1;1;1;1;1;1;2;1;1;3;8;5;6;8;9;11;14;15;16;22;28
Gambia;Maschi;3;3;3;2;6;0;8;8;10;13;25;62;74;119;132;120;59;70;83;88;91;97;105;118;117;133;135;143
Georgia;Femmine;0;0;0;0;0;0;0;0;0;2;1;2;5;6;7;12;12;16;29;29;32;35;61;105;151;218;271;336
Georgia;Maschi;0;0;0;0;0;0;0;0;0;2;0;1;3;4;6;8;5;4;11;17;16;17;28;38;36;45;63;83
Germania;Femmine;1100;1134;1164;1190;733;1202;1205;1215;1223;1223;1261;1372;1368;1392;1476;1415;913;967;1037;1088;1105;1135;1179;1193;1225;1216;1115;899
